1	4.66	621	7.50000
5	0.95	116	8.18000
5	0.96	94	10.21000
5	1.15	206	5.58000
6	1.12	129	8.68000
6	4.63	606	7.64000
7	1.29	130	9.92000
7	1.47	182	8.07000
9	1.61	153	10.52000
9	1.62	151	10.72000
9	1.78	233	7.63000
10	1.76	159	11.06000
11	1.92	169	11.36000
11	1.93	163	11.84000
11	1.94	132	14.69000
11	1.94	163	11.90000
11	1.94	165	11.75000
11	1.94	167	11.61000
11	1.94	170	11.41000
11	1.96	163	12.02000
11	2.10	256	8.20000
11	2.10	278	7.55000
12	2.10	178	11.79000
12	2.23	276	8.07000
13	2.35	316	7.43000
14	2.34	196	11.93000
16	4.58	604	7.58000
16	4.68	599	7.81000
17	2.68	234	11.45000
17	2.71	237	11.43000
17	2.73	240	11.37000
18	2.82	248	11.37000
19	2.93	266	11.01000
19	3.11	377	8.24000
20	4.67	599	7.79000
22	3.25	297	10.94000
22	4.62	603	7.66000
22	4.63	602	7.69000
22	4.64	604	7.68000
22	4.66	597	7.80000
22	4.66	604	7.71000
23	3.47	416	8.34000
23	4.96	625	7.93000
25	4.65	602	7.72000
29	3.90	488	7.99000
29	3.90	495	7.87000
30	3.89	398	9.77000
32	3.99	408	9.77000
39	4.33	507	8.54000
44	4.65	600	7.75000
50	4.66	599	7.77000
50	4.66	602	7.74000
65	4.63	605	7.65000
65	4.87	759	6.41000
65	4.88	759	6.42000
88	4.98	951	5.23000
94	4.99	996	5.01000
