1	 0.21	 93	 2.25000
5	 0.97	 94	 10.31000
6	 1.16	 93	 12.47000
8	 1.47	 108	 13.61000
9	 1.64	 111	 14.77000
10	 1.80	 121	 14.87000
11	 1.93	 136	 14.19000
12	 2.10	 145	 14.48000
13	 2.20	 157	 14.01000
14	 2.36	 170	 13.88000
16	 2.59	 196	 13.21000
17	 2.72	 209	 13.01000
18	 2.83	 219	 12.92000
19	 2.94	 234	 12.56000
20	 3.08	 245	 12.57000
30	 3.87	 373	 10.37000
32	 4.00	 397	 10.07000
39	 4.32	 470	 9.19000
40	 4.39	 485	 9.05000
50	 4.68	 591	 7.91000
60       4.83    691     6.98000
70	 4.87	 789	 6.17000
80	 4.97	 889	 5.59000
88	 4.98	 950	 5.24000
90	 4.99	 968	 5.15000
100	 5.01	 1050	 4.77000
