Janela .......: 100 	Throughput ...: 1.32 	Delay ........: 133 	T / D ........: 11.52000 
Janela .......: 100 	Throughput ...: 1.47 	Delay ........: 133 	T / D ........: 11.52000 
Janela .......: 100 	Throughput ...: 1.61 	Delay ........: 133 	T / D ........: 11.52000 
Janela .......: 100 	Throughput ...: 1.62 	Delay ........: 133 	T / D ........: 11.53000 
Janela .......: 100 	Throughput ...: 1.62 	Delay ........: 133 	T / D ........: 11.53000 
Janela .......: 100 	Throughput ...: 1.63 	Delay ........: 133 	T / D ........: 11.53000 
Janela .......: 100 	Throughput ...: 1.63 	Delay ........: 133 	T / D ........: 11.53000 
Janela .......: 100 	Throughput ...: 1.63 	Delay ........: 133 	T / D ........: 11.53000 
Janela .......: 100 	Throughput ...: 1.63 	Delay ........: 133 	T / D ........: 11.53000 
Janela .......: 100 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.53000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.53000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
Janela .......: 11 	Throughput ...: 1.63 	Delay ........: 136 	T / D ........: 11.54000 
