0.347 77.000 4.510
0.392 86.000 4.555
0.355 81.000 4.384
0.339 80.000 4.243
0.333 81.000 4.108
0.329 86.000 3.827
0.343 82.000 4.179
0.382 74.000 5.156
0.335 99.000 3.381
0.334 86.000 3.886
0.340 85.000 4.005
0.348 74.000 4.709
0.407 79.000 5.151
0.390 78.000 5.001
0.353 74.000 4.771
0.374 77.000 4.860
0.374 75.000 4.990
0.351 77.000 4.554
0.337 80.000 4.216
0.335 77.000 4.352
0.332 102.000 3.256
0.344 73.000 4.707
0.329 95.000 3.459
0.369 74.000 4.989
0.387 71.000 5.449
0.397 72.000 5.519
0.386 74.000 5.215
0.341 76.000 4.484
0.375 71.000 5.284
0.360 74.000 4.866
0.350 74.000 4.727
0.343 81.000 4.229
0.338 81.000 4.168
0.346 86.000 4.027
0.339 84.000 4.033
0.329 85.000 3.874
0.344 78.000 4.407
0.354 85.000 4.167
0.331 94.000 3.523
0.385 82.000 4.692
0.336 84.000 4.005
0.345 80.000 4.313
0.387 73.000 5.295
0.377 73.000 5.170
0.373 73.000 5.112
0.362 72.000 5.021
0.336 83.000 4.052
0.343 88.000 3.894
0.333 80.000 4.162
0.346 88.000 3.928
0.377 80.000 4.707
0.381 77.000 4.951
0.354 75.000 4.719
0.344 78.000 4.414
0.353 74.000 4.765
0.370 73.000 5.071
0.385 72.000 5.346
0.329 73.000 4.505
0.357 72.000 4.952
0.350 76.000 4.610
0.368 78.000 4.722
0.338 81.000 4.171
0.340 90.000 3.783
0.342 86.000 3.981
0.338 85.000 3.980
0.389 82.000 4.743
0.344 77.000 4.462
0.339 82.000 4.137
0.343 76.000 4.510
0.348 79.000 4.400
0.340 82.000 4.145
0.352 75.000 4.690
0.357 74.000 4.824
0.345 78.000 4.428
0.343 77.000 4.451
0.352 82.000 4.299
0.344 80.000 4.299
0.349 77.000 4.532
0.340 77.000 4.411
0.346 76.000 4.559
0.343 75.000 4.571
0.329 80.000 4.115
0.344 78.000 4.407
0.325 94.000 3.457
0.333 79.000 4.220
0.323 92.000 3.513
0.341 78.000 4.371
0.338 85.000 3.981
0.344 79.000 4.349
0.359 77.000 4.659
0.339 84.000 4.035
0.342 80.000 4.275
0.348 73.000 4.761
0.347 73.000 4.756
0.351 75.000 4.673
0.355 74.000 4.794
0.355 80.000 4.444
0.359 74.000 4.849
0.356 73.000 4.883
