5.04	1.04	33	101	10.25EXECUCAO
5.04	1.24	32	94	13.21
5.04	1.04	33	101	10.25EXECUCAO
5.04	1.24	32	94	13.21
5.04	1.19	34	97	12.29
5.04	1.04	33	101	10.25EXECUCAO
5.04	1.24	32	94	13.21
5.04	1.19	34	97	12.29
5.04	0.91	30	108	8.44
5.04	1.04	33	101	10.25EXECUCAO
5.04	1.24	32	94	13.21
5.04	1.19	34	97	12.29
5.04	0.91	30	108	8.44
5.04	5.01	654	1227	4.08
5.04	1.04	33	101	10.25EXECUCAO
5.04	1.24	32	94	13.21
5.04	1.19	34	97	12.29
5.04	0.91	30	108	8.44
5.04	5.01	654	1227	4.08
